" ","  ","Overledenen","Verwacht aantal overledenen","Verwacht aantal overledenen (95%-interval)"
"2020","1","3103","3277","2908 – 3645"
"2020","2","3364","3311","2930 – 3692"
"2020","3","3157","3344","2945 – 3742"
"2020","4","3046","3392","3008 – 3776"
"2020","5","3164","3407","3027 – 3788"
"2020","6","3196","3401","2979 – 3823"
"2020","7","3198","3408","2916 – 3901"
"2020","8","2959","3387","2851 – 3922"
"2020","9","3098","3352","2805 – 3898"
"2020","10","3107","3315","2785 – 3845"
"2020","11","3218","3253","2756 – 3751"
"2020","12","3614","3174","2711 – 3637"
"2020","13","4458","3104","2703 – 3505"
"2020","14","5085","3024","2712 – 3337"
"2020","15","4982","2957","2719 – 3195"
"2020","16","4308","2915","2711 – 3120"
"2020","17","3910","2869","2677 – 3060"
"2020","18","3383","2841","2650 – 3032"
"2020","19","2989","2821","2633 – 3009"
"2020","20","2777","2794","2626 – 2962"
"2020","21","2770","2770","2620 – 2920"
"2020","22","2732","2753","2608 – 2898"
"2020","23","2682","2735","2591 – 2880"
"2020","24","2689","2737","2600 – 2875"
"2020","25","2696","2725","2594 – 2855"
"2020","26","2659","2717","2577 – 2857"
"2020","27","2638","2723","2544 – 2902"
"2020","28","2619","2719","2515 – 2923"
"2020","29","2528","2720","2507 – 2934"
"2020","30","2673","2707","2515 – 2900"
"2020","31","2666","2687","2492 – 2882"
"2020","32","2642","2682","2483 – 2881"
"2020","33","3209","2669","2481 – 2857"
"2020","34","2856","2663","2510 – 2815"
"2020","35","2735","2667","2526 – 2807"
"2020","36","2692","2676","2549 – 2804"
"2020","37","2742","2698","2564 – 2832"
"2020","38","2721","2729","2585 – 2873"
"2020","39","2891","2752","2618 – 2886"
"2020","40","3002","2786","2628 – 2943"
"2020","41","3022","2807","2655 – 2960"
"2020","42","3222","2839","2677 – 3001"
"2020","43","3448","2862","2661 – 3063"
"2020","44","3687","2889","2683 – 3095"
"2020","45","3589","2902","2692 – 3111"
"2020","46","3580","2932","2710 – 3155"
"2020","47","3335","2972","2742 – 3202"
"2020","48","3405","3012","2762 – 3263"
"2020","49","3530","3037","2742 – 3332"
"2020","50","3615","3100","2800 – 3399"
"2020","51","3909","3166","2830 – 3501"
"2020","52","3867","3222","2871 – 3573"
"2020","53","4103","3266","2906 – 3625"
"2021","1","4143","3309","2940 – 3677"
"2021","2","3852","3343","2962 – 3724"
"2021","3","3862","3376","2978 – 3775"
"2021","4","3716","3425","3040 – 3809"
"2021","5","3654","3440","3060 – 3821"
"2021","6","3550","3434","3012 – 3856"
"2021","7","3528","3441","2949 – 3934"
"2021","8","3207","3420","2884 – 3955"
"2021","9","3105","3384","2838 – 3931"
"2021","10","3246","3347","2817 – 3877"
"2021","11","3042","3285","2787 – 3782"
"2021","12","3044","3205","2742 – 3668"
"2021","13","3178","3134","2733 – 3535"
"2021","14","3162","3054","2741 – 3366"
"2021","15","3137","2986","2748 – 3224"
"2021","16","3144","2944","2739 – 3148"
"2021","17","3123","2897","2705 – 3088"
"2021","18","3000","2869","2677 – 3060"
"2021","19","3014","2849","2660 – 3037"
"2021","20","2988","2821","2653 – 2989"
"2021","21","2806","2797","2646 – 2947"
"2021","22","3009","2780","2635 – 2925"
"2021","23","2883","2762","2617 – 2906"
"2021","24","2869","2764","2627 – 2901"
"2021","25","2672","2751","2620 – 2882"
"2021","26","2792","2743","2603 – 2883"
"2021","27","2835","2750","2571 – 2929"
"2021","28","2870","2745","2541 – 2949"
"2021","29","2773","2747","2534 – 2960"
"2021","30","2907","2734","2541 – 2926"
"2021","31","2954","2713","2518 – 2908"
"2021","32","2831","2708","2509 – 2907"
"2021","33","2889","2695","2507 – 2883"
"2021","34","2920","2688","2535 – 2841"
"2021","35","2850","2693","2552 – 2833"
"2021","36","3075","2702","2575 – 2829"
"2021","37","2898","2724","2590 – 2858"
"2021","38","2873","2755","2612 – 2899"
"2021","39","3053","2778","2644 – 2912"
"2021","40","3044","2813","2655 – 2970"
"2021","41","3020","2835","2682 – 2987"
"2021","42","3211","2866","2705 – 3028"
"2021","43","","2889","2688 – 3090"
"2021","44","","2917","2711 – 3123"
"2021","45","","2930","2720 – 3139"
"2021","46","","2960","2738 – 3183"
"2021","47","","3001","2771 – 3231"
"2021","48","","3042","2791 – 3292"
"2021","49","","3066","2771 – 3361"
"2021","50","","3130","2830 – 3429"
"2021","51","","",""
"2021","52","","",""
"* Voorlopige cijfers. Week 42 van 2021 is een schatting."